0,0,Ombudsman,email,phone,0,Ombudsman,phyAddress 
1,Sep 15 2026 20:23:28,Justin Simpleton,email,phone,1,Ombudsman,phyAddress 
1,Sep 15 2026 20:23:30,Buddy Rich,email,phone,2,Ombudsman,phyAddress 
1,Sep 15 2026 20:27:35,Chuck Yager,email,phone,3,Ombudsman,phyAddress 
1,Sep 17 2026 09:36:18,Lena Horn, , ,71,, 
1,Sep 17 2026 11:07:11,Jack TheRipper, , ,72,, 
1,Sep 17 2026 11:54:46,Walter Cronkite, , ,73,, 
1,Sep 17 2026 12:10:37,Buggsy Malone, , ,74,, 
1,Sep 17 2026 12:39:45,Gaad Forever, , ,65,Ombudsman, 
1,Sep 17 2026 15:04:41,Wonder Woman, , ,75,, 
1,Sep 17 2026 16:27:37,Bill Clinton, , ,76,Ombudsman, 
1,Sep 17 2026 17:03:38,Tom Clancey, , ,77,, 
1,Sep 17 2026 18:44:06,Graham Bell, , ,78,, 
1,Sep 17 2026 20:05:36,Sandy Duncan, , ,85,, 
1,Sep 17 2026 20:36:37,Harold Givens, , ,87,Ombudsman, 
1,Sep 17 2026 21:01:06,Tyron Powell, , ,88,Ombudsman, 
1,Sep 17 2026 21:11:31,Rocky Balboa, , ,89,, 
1,Sep 17 2026 21:37:04,Teddy Branstead, , ,90,, 
1,Sep 18 2026 07:02:49,Hugh Heffner, , ,91,Ombudsman, 
1,Sep 18 2026 08:42:37,Waldo Here, , ,89,Ombudsman, 
1,Sep 18 2026 09:14:24,David Brinkley, , ,94,Ombudsman, 
1,Sep 18 2026 10:31:32,Arnold Palmer, , ,96,, 
1,Sep 18 2026 10:50:11,Sally Field, , ,96,Ombudsman, 
